q_soc,q_vrc,r,mae,rmse,bias,nis_mean,nis_median,nis_exceed_3_84,nis_exceed_6_63,n_samples,score
5e-07,1e-06,0.001,0.001245216874808259,0.002460322414851765,-0.0004300257305821221,0.005234702363301079,0.0009053966997022963,0.0,0.0,93426,1.2407975391218755
5e-07,1e-07,0.001,0.0012589931811127374,0.002497394855514198,-0.00043027211214760364,0.005416143794171979,0.0009225483475464988,0.0,0.0,93426,1.244323341757248
1e-08,1e-07,0.0001,0.0023529449897539377,0.0036856741722243415,-0.0007241281946914033,0.12842768814454836,0.03546669667126678,0.0046667951105687925,0.003328837796758932,93426,1.2458019644299292
1e-07,1e-07,0.0003,0.0014675831333030255,0.0026592251340311446,-0.00048671562167873115,0.021161840980019074,0.004368563771754718,0.0012416243872155502,0.0004602573159505919,93426,1.2458417419326537
1e-09,1e-06,0.0001,0.003002566014219742,0.004029641828179494,-0.0019540664674636047,0.15043356807231095,0.052890588794540866,0.0023226938967739175,0.000727848778712564,93426,1.254419810472738
1e-09,1e-07,0.0001,0.004484210567148058,0.005895107364396512,-0.0020471298776956587,0.3392853421329974,0.13154891569556748,0.006357973155224456,0.0034786890159056367,93426,1.2568830699001716
1e-07,1e-05,0.001,0.0018673491293424937,0.002678259210619683,-0.000773504259066184,0.006523793349734831,0.002286759424215976,0.0,0.0,93426,1.2613021277122334
1e-08,3e-06,0.0003,0.0023582034792924947,0.003176069450008484,-0.001185416688679622,0.03102544546042663,0.011535828879340928,0.00026759146276197205,0.0,93426,1.2867152952718026
1e-09,3e-05,0.0003,0.002233853905182264,0.0032328877916918,-0.001963172407224563,0.026180810492847286,0.00646343281468823,0.0,0.0,93426,1.2971079686763327
1e-07,3e-06,0.001,0.00213927134601709,0.003091453189711819,-0.0007888123318591861,0.008977485573061952,0.0031752879208982766,0.0,0.0,93426,1.30016783339812
1e-08,3e-05,0.001,0.0024500103719018508,0.0032294587037409767,-0.001914066852759134,0.009031228956303304,0.0038281849124328533,0.0,0.0,93426,1.3139146414177945
1e-07,1e-06,0.001,0.002262093813611213,0.0032761321344451115,-0.0007980197976394564,0.01020914108794544,0.0035757475551615172,0.0,0.0,93426,1.3174040723565656
1e-07,1e-07,0.001,0.0023308442060719584,0.0033796969623922863,-0.0008036326187675319,0.010938799639489712,0.0037807191751908493,0.0,0.0,93426,1.3270308965997388
1e-08,1e-06,0.0003,0.0028864598396385658,0.0038360805914826952,-0.001206581207320782,0.04686140973719784,0.019046254195815474,0.0010275512170059727,0.0,93426,1.3372604250195745
1e-09,1e-05,0.0003,0.002929451461513166,0.0040360088333591,-0.00249217636606575,0.04662332826511169,0.015089355886839202,0.0,0.0,93426,1.3569775550707983
1e-08,1e-07,0.0003,0.0034006717817073096,0.004464359436493349,-0.001237375933319322,0.06495259580892329,0.028052202909251336,0.001370068289341297,0.0006850341446706485,93426,1.382853416129753
1e-08,1e-05,0.001,0.0030147657920246334,0.0039871267534841584,-0.002018941613032278,0.014761645779488913,0.005603076112507337,0.0,0.0,93426,1.383951029568927
1e-09,3e-06,0.0003,0.0037914788520531234,0.005052422264955873,-0.0029822586775632193,0.07915315936205247,0.03115012912430351,0.0,0.0,93426,1.426089067133535
1e-08,3e-06,0.001,0.00380623603101346,0.0049634954506123895,-0.0020626755280555038,0.02378287805852858,0.009252159856701019,0.0,0.0,93426,1.4725666670027104
1e-09,1e-06,0.0003,0.0046425861964109385,0.006119490164183668,-0.0032397469549124923,0.12053140343341416,0.045939125149238855,0.0008991073148802261,0.0,93426,1.4918671666423928
1e-09,3e-05,0.001,0.0037250163254696363,0.0053925500647111725,-0.0032981022451723527,0.02522050834621624,0.006282191007579193,0.0,0.0,93426,1.514034498124901
1e-08,1e-06,0.001,0.004405827786590519,0.0056503036588432904,-0.0020788805744574907,0.03131830891871209,0.013249905792520458,0.0,0.0,93426,1.533712056965617
1e-09,1e-07,0.0003,0.005913057317863658,0.0076447235330467786,-0.0033863804463198244,0.19297288763980747,0.07383650269336987,0.0022049536531586495,0.0006529231691392118,93426,1.573254865660589
1e-08,1e-07,0.001,0.004866196666429794,0.0061670204566118365,-0.002090495461234524,0.037650680216289804,0.016814872472580948,0.0,0.0,93426,1.5790513654448939
1e-09,1e-05,0.001,0.004938336225443276,0.006818495236923212,-0.004248882333442613,0.043292676769891694,0.013883068398744591,0.0,0.0,93426,1.6385568469224294
1e-09,3e-06,0.001,0.00621597713385974,0.008293323578479318,-0.005058360834376944,0.066679061484384,0.02591219369290805,0.0,0.0,93426,1.7626532963635477
1e-09,1e-06,0.001,0.007108586150653658,0.009366156416360011,-0.005443207470160887,0.08648561575995148,0.03463779040862823,0.0,0.0,93426,1.8501300258760496
1e-09,1e-07,0.001,0.007859745956493393,0.010284605742983758,-0.005655307499646844,0.10528318408752127,0.04152720686395826,3.2110975531436646e-05,0.0,93426,1.9231934456986204
5e-07,1e-07,3e-05,0.0012182974890880406,0.009518198780268933,0.0005320128581435908,2.3537350248430404,0.0030553095086197158,0.011142508509408516,0.010264808511549248,93426,2.321390965636187
1e-06,1e-06,1e-05,0.00100144819626102,0.009533172062726246,0.0004763524917776333,4.864442081661319,0.0030635157436969315,0.009515552415815726,0.00860574144242502,93426,4.831122805584276
1e-07,1e-07,3e-05,0.001972799968301234,0.017018185751131377,0.0010287784188507995,8.436097151846226,0.0069319045961440265,0.013037056065763278,0.011923875580673475,93426,9.156358130572919
1e-08,1e-07,3e-05,0.002944641305451481,0.020388721260163216,0.0009645528700057687,12.547958193754315,0.04076600351171335,0.014867381671055167,0.012780168261511784,93426,13.607044178867678
1e-09,1e-07,3e-05,0.004480409294488274,0.020997134579101698,0.00014550389087643383,13.38558693900204,0.19651036190303184,0.018720698734827564,0.013550831674266264,93426,14.50821157795389
5e-07,1e-06,1e-05,0.0014276548642663848,0.01623225355537132,0.0008781703191265974,16.14939061502919,0.0037916045751594687,0.01004003168282919,0.009322886562627105,93426,16.786958872970366
1e-07,1e-06,1e-05,0.0022292790151647508,0.029269741543518177,0.0015752837657804725,59.36634516881992,0.007236160397816388,0.010275512170059727,0.009718921927514824,93426,61.30817600118428
1e-08,1e-06,1e-05,0.00277117404577,0.03436222640691074,0.0017049196693118226,84.51882407370417,0.02760164502209398,0.010029328024318713,0.00938710851368998,93426,86.9694484869211
1e-09,1e-06,1e-05,0.003198739575232201,0.034952714553123244,0.0012939797893696408,87.74779447973903,0.06498334143505963,0.010329030462612122,0.008295335345621133,93426,90.25652578562827
1e-06,1e-07,1e-05,0.004696256404029204,0.05141584367329506,0.004143126922042029,158.63181679766944,0.004086606905830622,0.016622781666773702,0.015712970693383,93426,162.79742552652573
5e-07,1e-07,1e-05,0.010618489694382217,0.12309958204537622,0.010023740971057873,1044.1210050531938,0.00555681263286484,0.018795624344400918,0.01789651702952069,93426,1055.4582575869333
1e-07,1e-07,1e-05,0.025522927009047826,0.31807417749238964,0.02477831904153345,8272.80959790639,0.010748515668683623,0.020658060925224243,0.019298696294393423,93426,8303.646643382384
1e-08,1e-07,1e-05,0.032085013090600974,0.4138947497656462,0.030750418497655287,14943.917493875462,0.04604375444946172,0.02257401579859996,0.02000513775608503,93426,14984.338260997682
1e-09,1e-07,1e-05,0.03370506205327672,0.42571436351082304,0.030859063795314178,15938.337089328936,0.23288129472647012,0.028974803587866332,0.02239205360392182,93426,15979.945405135415
